data_size,alphabet_size,num_blocks,num_threads,duration,used_shmem
1000000000,4,218,64,17509,1
1000000000,4,435,64,9256,1
1000000000,4,870,64,6016,1
1000000000,4,1740,64,6431,1
1000000000,4,3480,64,6436,1
1000000000,4,6960,64,5912,1
1000000000,4,13920,64,5760,1
1000000000,4,27840,64,5763,1
1000000000,4,55680,64,5755,1
1000000000,4,111360,64,5740,1
1000000000,4,222720,64,5849,1
1000000000,4,445440,64,5988,1
1000000000,4,890880,64,6301,1
1000000000,4,1781760,64,6933,1
1000000000,4,3563520,64,8203,1
1000000000,4,7127040,64,10861,1
1000000000,4,14254080,64,16135,1
1000000000,4,109,128,17771,1
1000000000,4,218,128,9435,1
1000000000,4,435,128,6101,1
1000000000,4,870,128,6430,1
1000000000,4,1740,128,6479,1
1000000000,4,3480,128,5949,1
1000000000,4,6960,128,5811,1
1000000000,4,13920,128,5798,1
1000000000,4,27840,128,5816,1
1000000000,4,55680,128,5836,1
1000000000,4,111360,128,5904,1
1000000000,4,222720,128,6062,1
1000000000,4,445440,128,6396,1
1000000000,4,890880,128,7140,1
1000000000,4,1781760,128,8716,1
1000000000,4,3563520,128,11694,1
1000000000,4,7127040,128,17671,1
1000000000,4,54,256,17871,1
1000000000,4,109,256,9537,1
1000000000,4,218,256,6556,1
1000000000,4,435,256,6420,1
1000000000,4,870,256,6485,1
1000000000,4,1740,256,5924,1
1000000000,4,3480,256,5850,1
1000000000,4,6960,256,5819,1
1000000000,4,13920,256,5828,1
1000000000,4,27840,256,5855,1
1000000000,4,55680,256,5943,1
1000000000,4,111360,256,6145,1
1000000000,4,222720,256,6610,1
1000000000,4,445440,256,7657,1
1000000000,4,890880,256,9819,1
1000000000,4,1781760,256,14224,1
1000000000,4,3563520,256,23025,1
1000000000,4,27,512,18315,1
1000000000,4,54,512,9614,1
1000000000,4,109,512,7121,1
1000000000,4,218,512,6987,1
1000000000,4,435,512,6513,1
1000000000,4,870,512,5936,1
1000000000,4,1740,512,5838,1
1000000000,4,3480,512,5877,1
1000000000,4,6960,512,5867,1
1000000000,4,13920,512,5923,1
1000000000,4,27840,512,6063,1
1000000000,4,55680,512,6436,1
1000000000,4,111360,512,7247,1
1000000000,4,222720,512,8906,1
1000000000,4,445440,512,12698,1
1000000000,4,890880,512,20342,1
1000000000,4,1781760,512,34919,1
1000000000,4,14,1024,19143,1
1000000000,4,27,1024,10100,1
1000000000,4,54,1024,7230,1
1000000000,4,109,1024,7150,1
1000000000,4,218,1024,7107,1
