alphabet_size,num_blocks,num_threads,duration,use_shmem,GPU_name
4,640,64,187237064,1,NVIDIA GeForce RTX 2070 SUPER
4,320,128,168246150,1,NVIDIA GeForce RTX 2070 SUPER
4,160,256,168340120,1,NVIDIA GeForce RTX 2070 SUPER
4,80,512,168199206,1,NVIDIA GeForce RTX 2070 SUPER
4,40,1024,168267495,1,NVIDIA GeForce RTX 2070 SUPER
4,1280,64,167288321,1,NVIDIA GeForce RTX 2070 SUPER
4,640,128,167112811,1,NVIDIA GeForce RTX 2070 SUPER
4,320,256,166793138,1,NVIDIA GeForce RTX 2070 SUPER
4,160,512,166395981,1,NVIDIA GeForce RTX 2070 SUPER
4,80,1024,166704497,1,NVIDIA GeForce RTX 2070 SUPER
4,2560,64,166323624,1,NVIDIA GeForce RTX 2070 SUPER
4,1280,128,165998251,1,NVIDIA GeForce RTX 2070 SUPER
4,640,256,165342376,1,NVIDIA GeForce RTX 2070 SUPER
4,320,512,164738139,1,NVIDIA GeForce RTX 2070 SUPER
4,160,1024,165756429,1,NVIDIA GeForce RTX 2070 SUPER
4,5120,64,165782483,1,NVIDIA GeForce RTX 2070 SUPER
4,2560,128,165025574,1,NVIDIA GeForce RTX 2070 SUPER
4,1280,256,163929896,1,NVIDIA GeForce RTX 2070 SUPER
4,640,512,163243607,1,NVIDIA GeForce RTX 2070 SUPER
4,320,1024,165285148,1,NVIDIA GeForce RTX 2070 SUPER
4,10240,64,167313301,1,NVIDIA GeForce RTX 2070 SUPER
4,5120,128,166082945,1,NVIDIA GeForce RTX 2070 SUPER
4,2560,256,163888427,1,NVIDIA GeForce RTX 2070 SUPER
4,1280,512,162568858,1,NVIDIA GeForce RTX 2070 SUPER
4,640,1024,165813485,1,NVIDIA GeForce RTX 2070 SUPER
4,20480,64,171115981,1,NVIDIA GeForce RTX 2070 SUPER
4,10240,128,169230800,1,NVIDIA GeForce RTX 2070 SUPER
4,5120,256,166197335,1,NVIDIA GeForce RTX 2070 SUPER
4,2560,512,164144800,1,NVIDIA GeForce RTX 2070 SUPER
4,1280,1024,168374882,1,NVIDIA GeForce RTX 2070 SUPER
4,40960,64,178208129,1,NVIDIA GeForce RTX 2070 SUPER
4,20480,128,175687867,1,NVIDIA GeForce RTX 2070 SUPER
4,10240,256,171651055,1,NVIDIA GeForce RTX 2070 SUPER
4,5120,512,169010238,1,NVIDIA GeForce RTX 2070 SUPER
4,2560,1024,173783791,1,NVIDIA GeForce RTX 2070 SUPER
4,81920,64,191834478,1,NVIDIA GeForce RTX 2070 SUPER
4,40960,128,188940748,1,NVIDIA GeForce RTX 2070 SUPER
4,20480,256,183670186,1,NVIDIA GeForce RTX 2070 SUPER
4,10240,512,179919928,1,NVIDIA GeForce RTX 2070 SUPER
4,5120,1024,185466928,1,NVIDIA GeForce RTX 2070 SUPER
4,163840,64,216292739,1,NVIDIA GeForce RTX 2070 SUPER
4,81920,128,213082942,1,NVIDIA GeForce RTX 2070 SUPER
4,40960,256,207233803,1,NVIDIA GeForce RTX 2070 SUPER
4,20480,512,204785660,1,NVIDIA GeForce RTX 2070 SUPER
4,10240,1024,210298523,1,NVIDIA GeForce RTX 2070 SUPER
4,327680,64,268786933,1,NVIDIA GeForce RTX 2070 SUPER
4,163840,128,266282018,1,NVIDIA GeForce RTX 2070 SUPER
4,81920,256,261497326,1,NVIDIA GeForce RTX 2070 SUPER
4,40960,512,260308850,1,NVIDIA GeForce RTX 2070 SUPER
4,20480,1024,267112131,1,NVIDIA GeForce RTX 2070 SUPER
50,640,64,637081809,1,NVIDIA GeForce RTX 2070 SUPER
50,320,128,617912669,1,NVIDIA GeForce RTX 2070 SUPER
50,160,256,617748532,1,NVIDIA GeForce RTX 2070 SUPER
50,80,512,617872128,1,NVIDIA GeForce RTX 2070 SUPER
50,40,1024,617784252,1,NVIDIA GeForce RTX 2070 SUPER
50,1280,64,613934936,1,NVIDIA GeForce RTX 2070 SUPER
50,640,128,613045771,1,NVIDIA GeForce RTX 2070 SUPER
50,320,256,612039245,1,NVIDIA GeForce RTX 2070 SUPER
50,160,512,610912750,1,NVIDIA GeForce RTX 2070 SUPER
50,80,1024,612162497,1,NVIDIA GeForce RTX 2070 SUPER
50,2560,64,610658167,1,NVIDIA GeForce RTX 2070 SUPER
50,1280,128,609140511,1,NVIDIA GeForce RTX 2070 SUPER
50,640,256,605279256,1,NVIDIA GeForce RTX 2070 SUPER
50,320,512,603814043,1,NVIDIA GeForce RTX 2070 SUPER
50,160,1024,608181447,1,NVIDIA GeForce RTX 2070 SUPER
50,5120,64,606702984,1,NVIDIA GeForce RTX 2070 SUPER
50,2560,128,603909298,1,NVIDIA GeForce RTX 2070 SUPER
50,1280,256,598330270,1,NVIDIA GeForce RTX 2070 SUPER
50,640,512,597366828,1,NVIDIA GeForce RTX 2070 SUPER
50,320,1024,604582707,1,NVIDIA GeForce RTX 2070 SUPER
50,10240,64,608312114,1,NVIDIA GeForce RTX 2070 SUPER
50,5120,128,603287087,1,NVIDIA GeForce RTX 2070 SUPER
50,2560,256,594243112,1,NVIDIA GeForce RTX 2070 SUPER
50,1280,512,589337730,1,NVIDIA GeForce RTX 2070 SUPER
50,640,1024,601345589,1,NVIDIA GeForce RTX 2070 SUPER
50,20480,64,611572085,1,NVIDIA GeForce RTX 2070 SUPER
50,10240,128,604300935,1,NVIDIA GeForce RTX 2070 SUPER
50,5120,256,592513466,1,NVIDIA GeForce RTX 2070 SUPER
50,2560,512,585888259,1,NVIDIA GeForce RTX 2070 SUPER
50,1280,1024,602313319,1,NVIDIA GeForce RTX 2070 SUPER
50,40960,64,615486846,1,NVIDIA GeForce RTX 2070 SUPER
50,20480,128,605598194,1,NVIDIA GeForce RTX 2070 SUPER
50,10240,256,589734295,1,NVIDIA GeForce RTX 2070 SUPER
50,5120,512,579589182,1,NVIDIA GeForce RTX 2070 SUPER
50,2560,1024,600881158,1,NVIDIA GeForce RTX 2070 SUPER
50,81920,64,625448484,1,NVIDIA GeForce RTX 2070 SUPER
50,40960,128,612537464,1,NVIDIA GeForce RTX 2070 SUPER
50,20480,256,591348655,1,NVIDIA GeForce RTX 2070 SUPER
50,10240,512,577500691,1,NVIDIA GeForce RTX 2070 SUPER
50,5120,1024,603568182,1,NVIDIA GeForce RTX 2070 SUPER
50,163840,64,649313424,1,NVIDIA GeForce RTX 2070 SUPER
50,81920,128,634206516,1,NVIDIA GeForce RTX 2070 SUPER
50,40960,256,606513688,1,NVIDIA GeForce RTX 2070 SUPER
50,20480,512,590322236,1,NVIDIA GeForce RTX 2070 SUPER
50,10240,1024,616805945,1,NVIDIA GeForce RTX 2070 SUPER
50,327680,64,699399773,1,NVIDIA GeForce RTX 2070 SUPER
50,163840,128,683621344,1,NVIDIA GeForce RTX 2070 SUPER
50,81920,256,651320330,1,NVIDIA GeForce RTX 2070 SUPER
50,40960,512,638211991,1,NVIDIA GeForce RTX 2070 SUPER
50,20480,1024,659237126,1,NVIDIA GeForce RTX 2070 SUPER
200,640,64,903209159,1,NVIDIA GeForce RTX 2070 SUPER
200,320,128,884191842,1,NVIDIA GeForce RTX 2070 SUPER
200,160,256,883750174,1,NVIDIA GeForce RTX 2070 SUPER
200,80,512,884039533,1,NVIDIA GeForce RTX 2070 SUPER
200,40,1024,883786501,1,NVIDIA GeForce RTX 2070 SUPER
200,1280,64,878470368,1,NVIDIA GeForce RTX 2070 SUPER
200,640,128,878127310,1,NVIDIA GeForce RTX 2070 SUPER
200,320,256,875353470,1,NVIDIA GeForce RTX 2070 SUPER
200,160,512,874360271,1,NVIDIA GeForce RTX 2070 SUPER
200,80,1024,876107066,1,NVIDIA GeForce RTX 2070 SUPER
200,2560,64,873793265,1,NVIDIA GeForce RTX 2070 SUPER
200,1280,128,872818301,1,NVIDIA GeForce RTX 2070 SUPER
200,640,256,867358187,1,NVIDIA GeForce RTX 2070 SUPER
200,320,512,866030009,1,NVIDIA GeForce RTX 2070 SUPER
200,160,1024,870667515,1,NVIDIA GeForce RTX 2070 SUPER
200,5120,64,866648623,1,NVIDIA GeForce RTX 2070 SUPER
200,2560,128,864125124,1,NVIDIA GeForce RTX 2070 SUPER
200,1280,256,857096434,1,NVIDIA GeForce RTX 2070 SUPER
200,640,512,855451287,1,NVIDIA GeForce RTX 2070 SUPER
200,320,1024,866731598,1,NVIDIA GeForce RTX 2070 SUPER
200,10240,64,871203185,1,NVIDIA GeForce RTX 2070 SUPER
200,5120,128,865775266,1,NVIDIA GeForce RTX 2070 SUPER
200,2560,256,855517375,1,NVIDIA GeForce RTX 2070 SUPER
200,1280,512,848357000,1,NVIDIA GeForce RTX 2070 SUPER
200,640,1024,863079308,1,NVIDIA GeForce RTX 2070 SUPER
200,20480,64,874997232,1,NVIDIA GeForce RTX 2070 SUPER
200,10240,128,866755326,1,NVIDIA GeForce RTX 2070 SUPER
200,5120,256,853417511,1,NVIDIA GeForce RTX 2070 SUPER
200,2560,512,844914679,1,NVIDIA GeForce RTX 2070 SUPER
200,1280,1024,864403206,1,NVIDIA GeForce RTX 2070 SUPER
200,40960,64,879099412,1,NVIDIA GeForce RTX 2070 SUPER
200,20480,128,867952634,1,NVIDIA GeForce RTX 2070 SUPER
200,10240,256,850268042,1,NVIDIA GeForce RTX 2070 SUPER
200,5120,512,838299885,1,NVIDIA GeForce RTX 2070 SUPER
200,2560,1024,862496760,1,NVIDIA GeForce RTX 2070 SUPER
