alphabet_size,group_size,num_blocks,num_threads,duration,use_shmem,GPU_name
1024,1,2176,128,129793075,1,NVIDIA GeForce RTX 2080 Ti
1024,1,1088,256,82718500,1,NVIDIA GeForce RTX 2080 Ti
1024,1,544,512,83726334,1,NVIDIA GeForce RTX 2080 Ti
1024,1,272,1024,86274453,1,NVIDIA GeForce RTX 2080 Ti
1024,1,8704,64,82908867,0,NVIDIA GeForce RTX 2080 Ti
1024,1,4352,128,126460558,1,NVIDIA GeForce RTX 2080 Ti
1024,1,2176,256,79926201,1,NVIDIA GeForce RTX 2080 Ti
1024,1,1088,512,80527305,1,NVIDIA GeForce RTX 2080 Ti
1024,1,544,1024,84896534,1,NVIDIA GeForce RTX 2080 Ti
2048,1,1088,64,115631844,0,NVIDIA GeForce RTX 2080 Ti
2048,1,544,128,104297154,0,NVIDIA GeForce RTX 2080 Ti
2048,1,272,256,159186080,1,NVIDIA GeForce RTX 2080 Ti
2048,1,136,512,102759304,1,NVIDIA GeForce RTX 2080 Ti
2048,1,68,1024,103084466,1,NVIDIA GeForce RTX 2080 Ti
2048,1,2176,64,101834986,0,NVIDIA GeForce RTX 2080 Ti
2048,1,1088,128,101904280,0,NVIDIA GeForce RTX 2080 Ti
2048,1,544,256,156391300,1,NVIDIA GeForce RTX 2080 Ti
2048,1,272,512,102591461,1,NVIDIA GeForce RTX 2080 Ti
2048,1,136,1024,103004459,1,NVIDIA GeForce RTX 2080 Ti
2048,1,4352,64,96989122,0,NVIDIA GeForce RTX 2080 Ti
2048,1,2176,128,97409753,0,NVIDIA GeForce RTX 2080 Ti
2048,1,1088,256,148965293,1,NVIDIA GeForce RTX 2080 Ti
2048,1,544,512,99227457,1,NVIDIA GeForce RTX 2080 Ti
2048,1,272,1024,101195302,1,NVIDIA GeForce RTX 2080 Ti
2048,1,8704,64,96771612,0,NVIDIA GeForce RTX 2080 Ti
2048,1,4352,128,96672100,0,NVIDIA GeForce RTX 2080 Ti
2048,1,2176,256,145005781,1,NVIDIA GeForce RTX 2080 Ti
2048,1,1088,512,93247569,1,NVIDIA GeForce RTX 2080 Ti
2048,1,544,1024,98461728,1,NVIDIA GeForce RTX 2080 Ti
4096,1,1088,64,133157810,0,NVIDIA GeForce RTX 2080 Ti
4096,1,544,128,121442704,0,NVIDIA GeForce RTX 2080 Ti
4096,1,272,256,121483972,0,NVIDIA GeForce RTX 2080 Ti
4096,1,136,512,179297555,1,NVIDIA GeForce RTX 2080 Ti
4096,1,68,1024,120717339,1,NVIDIA GeForce RTX 2080 Ti
4096,1,2176,64,118660536,0,NVIDIA GeForce RTX 2080 Ti
4096,1,1088,128,118650160,0,NVIDIA GeForce RTX 2080 Ti
4096,1,544,256,118671556,0,NVIDIA GeForce RTX 2080 Ti
4096,1,272,512,174254535,1,NVIDIA GeForce RTX 2080 Ti
4096,1,136,1024,120253922,1,NVIDIA GeForce RTX 2080 Ti
4096,1,4352,64,113540632,0,NVIDIA GeForce RTX 2080 Ti
4096,1,2176,128,113154520,0,NVIDIA GeForce RTX 2080 Ti
4096,1,1088,256,112317780,0,NVIDIA GeForce RTX 2080 Ti
4096,1,544,512,169418709,1,NVIDIA GeForce RTX 2080 Ti
4096,1,272,1024,118032288,1,NVIDIA GeForce RTX 2080 Ti
