data_size,num_blocks,num_threads,enough_shmem,use_padded_shmem,duration
1000000000,1088,64,0,0,14794
1000000000,2176,64,0,0,12386
1000000000,4352,64,0,0,10902
1000000000,8704,64,0,0,9955
1000000000,17408,64,0,0,9046
1000000000,34816,64,0,0,8913
1000000000,69632,64,0,0,8879
1000000000,139264,64,0,0,9114
1000000000,278528,64,0,0,9770
1000000000,557056,64,0,0,10868
1000000000,1114112,64,0,0,16350
1000000000,2228224,64,0,0,27677
1000000000,4456448,64,0,0,48299
1000000000,8912896,64,0,0,89303
1000000000,544,128,0,0,13457
1000000000,1088,128,0,0,11606
1000000000,2176,128,0,0,10374
1000000000,4352,128,0,0,9305
1000000000,8704,128,0,0,9189
1000000000,17408,128,0,0,9676
1000000000,34816,128,0,0,8868
1000000000,69632,128,0,0,8908
1000000000,139264,128,0,0,9159
1000000000,278528,128,0,0,10391
1000000000,557056,128,0,0,16069
1000000000,1114112,128,0,0,26869
1000000000,2228224,128,0,0,46969
1000000000,4456448,128,0,0,86897
1000000000,272,256,0,0,13584
1000000000,544,256,0,0,11991
1000000000,1088,256,0,0,10528
1000000000,2176,256,0,0,9231
1000000000,4352,256,0,0,8820
1000000000,8704,256,0,0,8784
1000000000,17408,256,0,0,9533
1000000000,34816,256,0,0,8644
1000000000,69632,256,0,0,8943
1000000000,139264,256,0,0,9651
1000000000,278528,256,0,0,14885
1000000000,557056,256,0,0,25386
1000000000,1114112,256,0,0,45424
1000000000,2228224,256,0,0,84834
1000000000,136,512,0,0,13401
1000000000,272,512,0,0,11434
1000000000,544,512,0,0,10154
1000000000,1088,512,0,0,9312
1000000000,2176,512,0,0,8904
1000000000,4352,512,0,0,9519
1000000000,8704,512,0,0,8541
1000000000,17408,512,0,0,8585
1000000000,34816,512,0,0,8962
1000000000,69632,512,0,0,10611
1000000000,139264,512,0,0,14626
1000000000,278528,512,0,0,25037
1000000000,557056,512,0,0,45150
1000000000,1114112,512,0,0,85180
1000000000,68,1024,0,0,15878
1000000000,136,1024,0,0,14518
1000000000,272,1024,0,0,12658
1000000000,544,1024,0,0,10573
1000000000,1088,1024,0,0,9288
1000000000,2176,1024,0,0,8962
1000000000,4352,1024,0,0,9333
1000000000,8704,1024,0,0,9946
1000000000,17408,1024,0,0,9303
1000000000,34816,1024,0,0,10171
1000000000,69632,1024,0,0,14405
1000000000,139264,1024,0,0,24557
1000000000,278528,1024,0,0,44677
1000000000,557056,1024,0,0,82806
2000000000,1088,64,0,0,33417
2000000000,2176,64,0,0,29367
2000000000,4352,64,0,0,24720
2000000000,8704,64,0,0,20240
2000000000,17408,64,0,0,18189
2000000000,34816,64,0,0,17869
2000000000,69632,64,0,0,17748
2000000000,139264,64,0,0,17990
2000000000,278528,64,0,0,17890
2000000000,557056,64,0,0,18343
2000000000,1114112,64,0,0,19925
2000000000,2228224,64,0,0,32924
2000000000,4456448,64,0,0,55088
2000000000,8912896,64,0,0,96532
2000000000,17825792,64,0,0,178233
2000000000,544,128,0,0,31087
2000000000,1088,128,0,0,26981
2000000000,2176,128,0,0,23183
2000000000,4352,128,0,0,19591
2000000000,8704,128,0,0,18051
2000000000,17408,128,0,0,17777
2000000000,34816,128,0,0,17719
2000000000,69632,128,0,0,17900
2000000000,139264,128,0,0,17735
2000000000,278528,128,0,0,18281
2000000000,557056,128,0,0,19824
2000000000,1114112,128,0,0,32234
2000000000,2228224,128,0,0,53522
2000000000,4456448,128,0,0,93810
2000000000,8912896,128,0,0,173716
2000000000,272,256,0,0,30257
2000000000,544,256,0,0,26782
2000000000,1088,256,0,0,22843
2000000000,2176,256,0,0,19423
2000000000,4352,256,0,0,17840
2000000000,8704,256,0,0,17518
2000000000,17408,256,0,0,17334
2000000000,34816,256,0,0,17239
2000000000,69632,256,0,0,17258
2000000000,139264,256,0,0,17752
2000000000,278528,256,0,0,19322
2000000000,557056,256,0,0,29898
2000000000,1114112,256,0,0,50601
2000000000,2228224,256,0,0,90766
2000000000,4456448,256,0,0,169625
2000000000,136,512,0,0,31068
2000000000,272,512,0,0,27226
2000000000,544,512,0,0,22895
2000000000,1088,512,0,0,19467
2000000000,2176,512,0,0,17938
2000000000,4352,512,0,0,17507
2000000000,8704,512,0,0,17226
2000000000,17408,512,0,0,17169
2000000000,34816,512,0,0,17147
2000000000,69632,512,0,0,17714
2000000000,139264,512,0,0,19183
2000000000,278528,512,0,0,29287
2000000000,557056,512,0,0,49891
2000000000,1114112,512,0,0,90262
2000000000,2228224,512,0,0,169618
2000000000,68,1024,0,0,36183
2000000000,136,1024,0,0,34592
2000000000,272,1024,0,0,30393
2000000000,544,1024,0,0,24851
2000000000,1088,1024,0,0,20396
2000000000,2176,1024,0,0,18152
2000000000,4352,1024,0,0,17812
2000000000,8704,1024,0,0,17832
2000000000,17408,1024,0,0,17867
2000000000,34816,1024,0,0,18476
2000000000,69632,1024,0,0,20186
2000000000,139264,1024,0,0,28771
2000000000,278528,1024,0,0,48963
2000000000,557056,1024,0,0,88633
2000000000,1114112,1024,0,0,165510
4000000000,1088,64,0,0,75584
4000000000,2176,64,0,0,70613
4000000000,4352,64,0,0,58969
4000000000,8704,64,0,0,48378
4000000000,17408,64,0,0,39724
4000000000,34816,64,0,0,35980
4000000000,69632,64,0,0,35544
4000000000,139264,64,0,0,35522
4000000000,278528,64,0,0,35617
4000000000,557056,64,0,0,35470
4000000000,1114112,64,0,0,36489
4000000000,2228224,64,0,0,39670
4000000000,4456448,64,0,0,65804
4000000000,8912896,64,0,0,110262
4000000000,17825792,64,0,0,193461
4000000000,35651584,64,0,0,356594
4000000000,544,128,0,0,70049
